,_abilities
0,0.21004658300858509
1,0.9218987882068601
2,0.18630970445930328
3,0.1653530342051842
4,0.06165804247430888
5,0.3505926316146675
6,0.15887267300167102
7,0.3919667644828822
8,0.9705795139999975
9,0.9850694794365924
10,0.5591063231634494
11,0.6504841881571929
12,0.20103979371020142
13,0.9597832520311211
14,0.10949673283422062
15,0.6832542105256463
16,0.6758773313921069
17,0.5475454211788585
18,0.518516382078471
19,0.3457454715667011
20,0.5778037939792823
21,0.7910906182552498
22,0.411114015146369
23,0.15857081827398603
24,0.4278650126106897
25,0.3742991014633188
26,0.42460248087527686
27,0.6461372708236813
28,0.7652123776600893
29,0.5735902915399635
30,0.7348289786648416
31,0.04568380965072113
32,0.2764818370870543
33,0.9420874633108298
34,0.9109710803278226
35,0.013287819211871416
36,0.40202986524426193
37,0.0143265106832423
38,0.9912365051770065
39,0.39624946884801626
40,0.6237008435188354
41,0.44962002989299493
42,0.4446541719338664
43,0.42627714370193703
44,0.8107015113705345
45,0.13329398492383546
46,0.3206629592049306
47,0.33885371583005014
48,0.4620712287788498
49,0.6856129767231369
